pólskim	pʊlskʲim
wogon	ɔɡɛn
złotemu	zwɔtɛmu
capla	t͡sapla
spóraś	spɛraɕ
dobremu	dɔbrɛmu
žywy	ʒɨwɨ
pódomk	pɨdɔmk
jerła	jɛrwa
serp	sɛrp
jajko	jajkɔ
chyliś	xɨliɕ
sněg	snʲɪk
wjeliki	vʲɛlikʲi
módra	mɨdra
góram	ɡɛram
kopyto	kɔpɨtɔ
gadam	ɡadam
góru	ɡʊru
pónjeźela	pɛnʲɛʑɛla
bjerjomy	bʲɛrʲɔmɨ
pšut	pʃut
wósoł	wʊsɔw
som	sɔm
sprjewja	sprʲɛvʲa
wulu	ulu
kuchnja	kuxnʲa
kónja	kɛnʲa
roda	rɔda
zasej	zasɛj
wóda	wʊda
bubon	bubɔn
pśedešćnik	pɕɛdɛɕt͡ɕnʲik
roja	rɔja
pšose	pʃɔsɛ
pśigótowaś	pɕiɡɛtowaɕ
swack	swat͡sk
mjatel	mʲatɛl
wót	wʊt
cesty	t͡sɛstɨ
syn	sɨn
źiśi	ʑiɕi
bronami	brɔnamʲi
lanka	laŋka
módry	mɛdrɨ
ptaškowy	ptaʃkɔwɨ
sykora	sɨkɔra
wónej	wɨnɛj
awtor	awtɔr
mjod	mʲɔt
chórobny	xʊrɔbnɨ
jich	jix
póra	pʊra
gymnazium	ɡɨmnazium
śańki	ɕankʲi
myśe	mɨɕɛ
dosć	dɔst͡ɕ
kóža	kɨʒa
prědk	prʲɪtk
wumrějo	umrʲejɔ
zelezo	zɛlɛzɔ
jěsć	jɪst͡ɕ
wino	vʲinɔ
nan	nan
pólo	pɨlɔ
jastśebja	jast͡ɕɛbʲa
šwikawa	ʃvʲikawa
módli	mɨdli
kokoška	kɔkɔʃka
wej	wɛj
grali	ɡrali
mucha	muxa
da	da
ból	bɛl
wós	wʊs
pólack	pɛlat͡sk
nage	naɡʲɛ
bydliś	bɨdliɕ
gózdźa	ɡʊzd͡ʑa
wósa	wʊsa
bananu	bananu
luta	luta
kónja	kɨnʲa
numer	numɛr
powěźeś	povʲɪʑeɕ
tabela	tabɛla
brona	brɔna
laže	laʒɛ
pólsku	pɨlsku
kót	kʊt
wule	ulɛ
dubach	dubax
piwo	pʲiwɔ
bydlenje	bɨdlɛnʲɛ
bjerjom	bʲɛrʲɔm
sotšu	sɔt͡ʃu
kósam	kɨsam
sodło	sɔdwɔ
cyste	t͡sɨstɛ
tśmjeń	t͡ɕmʲɛnʲ
zymnica	zɨmnʲit͡sa
měri	mʲɪrʲi
pótom	pɛtɔm
wiki	vʲikʲi
wóz	wʊs
jagnjeśina	jaɡnʲɛɕina
lan	lan
barwa	barva
palimy	palimɨ
mišnjo	mʲiʃnʲɔ
wudra	udra
historiske	histɔrʲiskʲɛ
južo	juʒɔ
rudam	rudam
bóžy	bɨʒɨ
buwoł	buwɔw
palcach	palt͡sax
mloko	mlɔkɔ
žrěbje	ʒrʲɪbʲɛ
chóśebuz	xɨɕɛbus
fidle	fʲidlɛ
jedle	jɛdlɛ
tłocyś	twɔt͡sɨɕ
wósach	wɛsax
jěźech	jɪʑɛç
roga	rɔɡa
nagich	naɡʲix
bjerjechmy	bʲɛrʲɛçmɨ
studěrowaś	studʲɪrɔwaɕ
lubowaś	lubɔwaɕ
faram	faram
njejdu	nʲɛjdu
wariś	warʲiɕ
fara	fara
luź	luɕ
pětkowu	pʲɪtkɔwu
mało	mawɔ
móle	mɨlɛ
pśědł	pɕɪt
pólak	pɛlak
ptašk	ptaʃk
wósoba	wɛsɔba
góle	ɡʊlɛ
rys	rɨs
kóńcowaś	kʊnʲtsowaɕ
chromy	xrɔmɨ
srjejź	srʲɛjɕ
kóńck	kɛnʲtsk
łdza	d͡za
wós	wɨs
nakup	nakup
jagnje	jaɡnʲɛ
chlěw	xlɪw
połny	pownɨ
gwězda	ɡvʲɪzda
jěźo	jɪʑɔ
pśigótujo	pɕiɡɨtujɔ
njejźoš	nʲɛjʑɔʃ
głogom	ɡwɔɡɔm
njewjericka	nʲɛvʲɛrʲit͡ska
karu	karu
ketšup	kʲɛtʃup
spě	spʲɪ
jěźešćo	jɪʑɛɕt͡ɕɔ
pódla	pɛdla
nimcowka	nʲimt͡sowka
kót	kɛt
niska	nʲiska
zły	zwɨ
slě	slʲɪ
wósa	wɛsa
piła	pʲiwa
groze	ɡrɔzɛ
něnt	nʲɪnt
tuni	tunʲi
jerjeł	jɛrʲɛw
měsćańske	mʲɪst͡ɕanʲskʲɛ
swinja	svʲinʲa
formowaś	fɔrmɔwaɕ
wódajtej	wɛdajtɛj
supa	supa
row	rɔw
głog	ɡwɔk
njejźo	nʲɛjʑɔ
nowo	nɔwɔ
cerwjeny	t͡sɛrvʲɛnɨ
gnězdo	ɡnʲɪzdɔ
carnem	t͡sarnɛm
kacka	kat͡ska
ros	rɔs
góru	ɡɨru
fasada	fasada
ramje	ramʲɛ
złotym	zwɔtɨm
rybnica	rɨbnʲit͡sa
pón	pɨn
wósow	wɛsɔw
jěś	jɪɕ
pěšy	pʲɪʃɨ
krowach	krowax
dawno	dawnɔ
myslit	mɨslit
cynje	t͡sɨnʲɛ
wósu	wɨsu
sejźe	sɛjʑɛ
zelene	zɛlɛnɛ
pówětš	pɨvʲɪt͡ʃ
mjadwjeź	mʲadjeɕ
gótowy	ɡɨtɔwɨ
jež	jeʃ
wulicowaś	ulit͡sɔwaɕ
baba	baba
gładko	ɡwatkɔ
kunu	kunu
wjasoły	vʲasɔwɨ
mógu	mʊɡu
góźina	ɡɛʑina
trěś	tʲrʲɪɕ
módliś	mɛdliɕ
rody	rɔdɨ
wětšy	vʲɪt͡ʃɨ
pórat	pʊrat
rog	rɔk
njejsćo	nʲɛjst͡ɕɔ
roj	rɔj
słowo	swowɔ
bok	bɔk
miłemu	mʲiwɛmu
lube	lubɛ
pólu	pʊlu
módlił	mɛdliw
pjerina	pʲɛrʲina
jelenica	jɛlɛnʲit͡sa
žołma	ʒɔwma
pótom	pɨtɔm
sylna	sɨlna
dešć	dɛɕt͡ɕ
wósy	wɛsɨ
pódomk	pɛdɔmk
kurki	kurkʲi
swóje	swɛjɛ
póla	pɨla
rězaś	rʲɪzaɕ
kawki	kawkʲi
kózyrožk	kʊzɨroʃk
wósebny	wɨsɛbnɨ
brjaza	brʲaza
wy	wɨ
módli	mɛdli
palcu	palt͡su
serpam	sɛrpam
nocka	nɔt͡ska
pólšćina	pʊlɕt͡ɕina
jěł	jɪw
wódkow	wɨtkɔw
jěźechmy	jɪʑɛçmɨ
chóre	xɨrɛ
