melandro	melandɾo̝
zangro	θaŋɡɾo̝
milagre	milaɣɾe̝
trasnoitar	tɾasnojtaɾ
carozo	kaɾoso̝
cacarexar	kakaɾeʃaɾ
varela	baɾɛla̝
soarego	so̯aɾɛɣo̝
cazacú	kaθaku
mazadura	masaðuɾa̝
acibeche	asiβɛt͡ʃe̝
choca	t͡ʃɔka̝
pra	pɾa
trouzo	tɾowθo̝
aferventar	afeɾβentaɾ
pousada	powsaða̝
lagosta	laɣosta̝
esparexer	espaɾeʃeɾ
tonel	tonɛl
esterpe	estɛɾpe̝
bonome	bonɔme̝
chamorro	t͡ʃamoro̝
orela	oɾɛla̝
muimenta	mujmenta̝
amolecer	amoleθeɾ
areal	aɾeal
resío	resio̝
queiroa	kejɾɔa̝
soarego	soaɾɛɣo̝
coroa	kɾoa̝
nena	nena
encartar	eŋkaɾtaɾ
rexeitamento	reʃejtamento̝
bedugo	beðuɣo̝
incenso	inθenso̝
rens	reŋs
vendima	bendima̝
peixe	pejʃ
neal	neal
peneque	penɛke̝
cantón	kantoŋ
teixo	tejʃo̝
vedraño	beðɾaɲo̝
abaixar	aβajʃaɾ
beiril	bejɾil
cocho	kot͡ʃo̝
convite	kombite̝
decatar	dekataɾ
sacaúntos	sakaunto̝s
xeitar	ʃejtaɾ
senllos	senʎo̝s
balastrón	balastɾoŋ
escarvadentes	eskaɾβaðɛnte̝s
sortella	soɾteʎa̝
aguia	aɣja̝
fenda	fenda̝
mergullador	meɾɣuʎaðoɾ
achorentar	at͡ʃoɾentaɾ
bigornia	biɣɔɾnja̝
brouca	bɾɔwka̝
fallocas	faʎoka̝s
arrecender	areθendeɾ
sangano	saŋɡano̝
grea	ɡɾea̝
tega	tɛɣa̝
molar	mɔlaɾ
manto	manto̝
verea	bɾea̝
gulapo	ɡulapo̝
atoar	atoaɾ
bálsamo	balsa̝mo̝
arroz	aros
costureiro	kostuɾejɾo̝
vilán	bilaŋ
bagaña	baɣaɲa̝
freta	fɾɛta̝
reuma	rɛwma̝
cervo	θɛɾβo̝
armentío	aɾmentio̝
segur	seɣuɾ
eiva	ɛjβa̝
rello	reʎo̝
noelo	noɛlo̝
aplicado	aplikaðo̝
quer	kɛɾ
tusir	tusiɾ
cercar	seɾkaɾ
abouxar	aβowʃaɾ
cabezada	kaβesaða̝
altamira	altamiɾa̝
meimendro	mejmendɾo̝
broco	bɾɔko̝
desarranxar	desaranʃaɾ
crás	kɾas
amoado	amoaðo̝
xuízo	ʃwis̻ʊ
rinchar	rint͡ʃaɾ
bermui	beɾmuj
fervellasverzas	feɾβeʎasβeɾθa̝s
carqueixa	kaɾkejʃa̝
camba	kamba̝
cebola	θeβola̝
parvada	paɾβaða̝
esquecer	eskɛseɾ
cruz	kɾuθ
padrón	paðɾoŋ
estrullar	estɾuʎaɾ
atuar	atuaɾ
garabullo	ɡaɾaβuʎo̝
chicote	t͡ʃikɔte̝
rebolo	reβolo̝
paspallás	paspaʎas
cerquiño	seɾkiɲo̝
fento	fento̝
ferruxe	feruʃe̝
lixo	liʃo̝
rustrido	rustɾiðo̝
praza	pɾasa̝
agatuñar	ɡatuɲaɾ
unha	uŋa̝
cámara	kama̝ɾa̝
cruz	kɾus
broza	bɾoθa̝
condomiña	kondomiɲa̝
noiro	nojɾo̝
verba	berβa̝
esfregar	esfɾeɣaɾ
zuchar	sut͡ʃaɾ
louza	lowsa̝
fraco	fɾako̝
varar	baɾaɾ
estarrecer	estareθeɾ
canudo	kanuðo̝
cocido	koθiðo̝
vila	bila̝
pescuda	peskuða̝
becho	bet͡ʃo̝
bexato	beʃato̝
teor	teoɾ
con	kɔŋ
forneiro	foɾnejɾo̝
bidente	biðɛnte̝
espeteira	espetejɾa̝
trousar	tɾowsaɾ
agaitar	aɣajtaɾ
esqueira	eskejɾa̝
farangulla	faɾaŋɡuʎa̝
maniño	maniɲo̝
alfar	alfaɾ
queimada	kejmaða̝
bocexar	boseʃaɾ
cea	θea̝
canteiro	kantejɾo̝
faro	faɾo̝
xerga	ʃɛɾɣa̝
repelo	repɛlʊ
envorcar	embɔɾkaɾ
lene	lɛne̝
rebor	reβɔɾ
trabucar	tɾaβukaɾ
fiandón	fiandoŋ
toutizo	towtiso̝
cebola	sɛβɔla̝
cafurna	kafuɾna̝
fío	fiʊ̯
fume	fume̝
ermida	eɾmiða̝
bordo	boɾðo̝
sucar	sukaɾ
mexar	meʃaɾ
arañeira	aɾaɲejɾa̝
francuín	fɾaŋkuiŋ
galdaripo	ɡaldaɾipʊ
arroutada	arowtaða̝
rouco	rowko̝
codia	koðja̝
cachaza	kat͡ʃasa̝
maquía	makia̝
coca	kɔka̝
saboroso	saβoɾoso̝
ulla	uʎa̝
espeluxar	espeluʃaɾ
cenlla	senʎa̝
esmarfallar	esmaɾfaʎaɾ
vianda	bianda̝
mainel	majnɛl
luscofusco	luskofusko̝
candeloria	kandelɔɾja̝
macheta	mat͡ʃeta̝
envorcallar	emboɾkaʎaɾ
bruión	bɾujoŋ
cambota	kambɔta̝
trela	tɾɛla̝
leriar	lɛɾiaɾ
mosca	moska̝
solda	sɔlda̝
primaveras	pɾimaβeɾas
cango	kaŋko̝
departir	depaɾtiɾ
galla	ɡaʎa̝
vao	bao̯
carazo	kaɾaθo̝
esmendrellar	esmendɾeʎaɾ
fiar	fiaɾ
laranxa	laɾanʃa̝
refusar	refusaɾ
mantel	mantɛl
liño	liɲo̝
singrar	siŋɡɾaɾ
deosto	deɔsto̝
poupar	powpaɾ
achaiar	at͡ʃajaɾ
gorar	ɡoɾaɾ
seeta	sɛɛta̝
carba	kaɾβa̝
pezuño	pɛθuɲo̝
callau	kaʎaw
abesouro	aβesowɾo̝
lenzo	lɛnso̝
pelica	pɪlika̝
ladaíña	laðaiɲa
solar	solaɾ
guillufe	ɡiʎufe̝
rozar	roθaɾ
gosende	ɡosende̝
amarelo	amaɾɛlo̝
ripo	ripo̝
trallar	tɾaʎaɾ
lagarteiro	laɣaɾtejɾo̝
ruína	ruina̝
ventureira	bentuɾejɾa̝
palmo	palmo̝
burbullar	buɾβuʎaɾ
nifroso	nifɾoso̝
freixó	fɾejʃɔ
gabia	ɡaβja̝
picote	pikɔte̝
lura	luɾa̝
polbo	pɔlβo̝
nomeada	nomeaða̝
xear	ʃiaɾ
rexurdir	reʃuɾðiɾ
sabela	saβɛla̝
bao	bao̯
escarapote	eskaɾapɔte̝
feixón	fejʃoŋ
cóbado	koβa̝ðo̝
obreiro	ɔβɾejɾo
mesmo	miɾmo̝
gurgullón	ɡuɾɣuʎoŋ
debaer	deβaeɾ
gurgullar	ɡuɾɣuʎaɾ
cachar	kat͡ʃaɾ
azo	aθo̝
chourizo	t͡ʃowɾiso̝
lebre	lɛβɾe̝
secar	sekar
caravel	kɑɾaβɛl
portugués	poɾtuɣes
trola	tɾɔla̝
anafil	anafil
arrepiar	arepiaɾ
fibela	fiβɛla̝
cola	kɔla̝
moer	moeɾ
bortel	boɾtɛl
paz	paθ
ladrillo	laðɾiʎo̝
beira	bejɾa̝
percebeiro	peɾθeβejro̝
soterrar	soteraɾ
chaira	t͡ʃajɾa̝
mandorla	mandɔɾla̝
tragove	tɾaɣɔβe̝
fazula	fasula̝
relustro	relustɾo̝
berbia	bɛɾβja̝
aguillar	aɣiʎaɾ
relanzo	relanθo̝
eslava	eslaβa̝
avó	aβo̝
invernía	imbɛɾnia̝
loar	loaɾ
tolete	tolete̝
rebandar	reβandaɾ
bordinga	boɾðiŋɡa̝
denociña	denosiɲa̝̝
anguía	aŋɡia̝
rodo	rɔðo̝
illeu	iʎew
camouco	kamowko̝
nifrón	nifɾoŋ
nó	nɔ
tardiña	taɾðiɲa̝
reburdiar	reβuɾðjaɾ
ganduxar	ɡanduʃaɾ
forraxe	foraʃe̝
gondomar	ɡondomaɾ
fol	fɔl
reino	rejno̝
cichote	θit͡ʃɔte̝
zoco	sɔko̝
levada	leβaða̝
belsar	belsaɾ
treitoira	tɾejtojɾa̝
trousa	tɾowsa
careixa	kaɾejʃa̝
mércores	mɛɾko̝ɾe̝s
demo	dɛmo̝
canal	kanal
illar	iʎaɾ
vegada	beɣaða̝
pingueira	piŋɡejɾa̝
preguizoso	pɾeɣisoso̝
enxexar	enʃeʃaɾ
fieito	fjejto̝
rabuxa	raβuʃa̝
manta	manta̝
posse	pɔse̝
celme	θɛlme̝
boh	bɔ
tesoiras	tesojɾa̝
ceno	aθeno̝
