մռու	məɾu
չկայացած	t͡ʃʰəɡɑjɑt͡sʰɑd͡z
մա	mɑ
փոթ	pʰɔtʰ
գուշակաբար	kʰuʃɑɡɑpʰɑɾ
մարմնական	mɑɾmnɑɡɑn
աահ	ɑɑhə
փաղանգ	pʰɑʁɑŋkʰ
տերբիում	dɛɾpʰijum
պարուրել	bɑɾuɾɛl
վոլգա	vɔlkʰɑ
կուրծ	ɡuɾd͡z
ծպտյալ	d͡zəbdjɑl
աջարական	ɑt͡ʃʰɑɾɑɡɑn
սուլել	sulɛl
մեծանուն	mɛd͡zɑnun
կատակ	ɡɑdɑɡ
արյունաբանություն	ɑɾʏnɑpʰɑnutʰʏn
բնովի	pʰənɔvi
ատաղձագործ	ɑdɑχt͡sʰɑkʰɔɾd͡z
իշխանություն	iʃχɑnutʰʏn
արհեստական	ɑɾhɛstɑɡɑn
մակեդոնական	mɑɡɛtʰɔnɑɡɑn
ձանձրույթ	t͡sʰɑnt͡sʰɾujtʰ
անօգնական	ɑnɔkʰnɑɡɑn
աղքատություն	ɑχkʰɑdutʰʏn
փչանալ	pʰət͡ʃʰɑnɑl
դհոլ	tʰəhɔl
գդալ	kʰətʰɑl
մուգ	mukʰ
լ	lə
նիզակ	nizɑɡ
կեղ	ɡɛʁ
վտանգել	vədɑŋkʰɛl
տեգուսիգալպա	dɛkʰusikʰɑlbɑ
աբբայարան	ɑpʰːɑjɑɾɑn
խնդիրք	χəntʰiɾkʰ
հարսանիք	hɑɾsɑnikʰ
սահման	sɑhmɑn
գերազանց	kʰɛɾɑzɑnt͡sʰ
տոկոս	dɔɡɔs
հաղթակամար	hɑχtʰɑɡɑmɑɾ
պորտուգալիա	bɔɾdukʰɑljɑ
չայ	t͡ʃʰɑj
տարածված	dɑɾɑd͡zvɑd͡z
ճիպոտ	d͡ʒibɔd
տիպաբանական	dibɑpʰɑnɑɡɑn
չարջոու	t͡ʃʰɑɾt͡ʃʰɔu
իդիշ	itʰiʃ
վուվուզել	vuvuzɛl
ծախում	d͡zɑχum
ադամաթուզ	ɑtʰɑmɑtʰuz
չափազանց	t͡ʃʰɑpʰɑzɑnt͡sʰ
ծաղկյա	d͡zɑʁɡjɑ
կենդանավետ	ɡɛntʰɑnɑvɛd
հերմես	hɛɾmɛs
սագ	sɑkʰ
բույլ	pʰujl
վիպասան	vibɑsɑn
հուսահատվել	husɑhɑdvɛl
անեծք	ɑnɛt͡sʰkʰ
ակնածել	ɑɡnɑd͡zɛl
ռունգ	ɾuŋkʰ
քութայիս	kʰutʰɑjis
տարաբանվոր	dɑɾɑpʰɑnvɔɾ
հակաօսմանյան	hɑɡɑɔsmɑnjɑn
ծաղրել	d͡zɑʁɾɛl
գլորել	kʰəlɔɾɛl
ամբողջ	ɑmpʰɔχt͡ʃʰ
արդյամբ	ɑɾtʰjɑmpʰ
հեռաձայնել	hɛɾɑt͡sʰɑjnɛl
բառամթերք	pʰɑɾɑmətʰɛɾkʰ
երկոտանի	jɛɾɡɔdɑni
զորիկ	zɔɾiɡ
գյորմամիշ	kʰjɔɾmɑmiʃ
թենիսիստուհի	tʰɛnisistuhi
կառավարել	ɡɑɾɑvɑɾɛl
փայլ	pʰɑjl
վարյագ	vɑɾjɑkʰ
շպարանյութ	ʃəbɑɾɑnʏtʰ
սալվադոր	sɑlvɑtʰɔɾ
աղբերակ	ɑχpɛɾɑɡ
ջվալ	t͡ʃʰəvɑl
համեստաբար	hɑmɛstɑpʰɑɾ
խաչերկաթ	χɑt͡ʃʰɛɾɡɑtʰ
կիսաստվեր	ɡisɑstəvɛɾ
խոհանոց	χɔhɑnɔt͡sʰ
կասկարա	ɡɑskɑɾɑ
մալթայերեն	mɑltʰɑjɛɾɛn
մորմոք	mɔɾmɔkʰ
հորդորիչ	hɔɾtʰɔɾit͡ʃʰ
սիմվոլիկ	simvɔliɡ
սահմանել	sɑhmɑnɛl
կամա	ɡɑmɑ
առաջնորդել	ɑɾɑt͡ʃʰnɔɾtʰɛl
աբաս	ɑpʰɑs
կովլակ	ɡɔvlɑɡ
կարագ	ɡɑɾɑkʰ
մարդաբանություն	mɑɾtʰɑpʰɑnutʰʏn
հրեաստան	həɾɛɑstɑn
ռոզո	ɾɔzɔ
համբավ	hɑmpʰɑv
չիր	t͡ʃʰiɾ
եռանկյունի	jɛɾɑŋɡʏni
լուսատարի	lusɑdɑɾi
խոսափող	χɔsɑpʰɔʁ
շոսսե	ʃɔsːɛ
ձեռք	t͡sʰɛɾkʰ
հեքիմ	hɛkʰim
վայրաշարժ	vɑjɾɑʃɑɾʒ
երկայն	jɛɾɡɑjn
օտարաբանություն	ɔdɑɾɑpʰɑnutʰʏn
բոնուս	pʰɔnus
սյուն	sʏn
երես	jɛɾɛs
լիով	lijɔv
րե	ɾɛ
փարպեցի	pʰɑɾbɛt͡sʰi
զառանցել	zɑɾɑnt͡sʰɛl
միլիցիա	milit͡sʰjɑ
վիթ	vitʰ
ըղձական	əχt͡sʰɑɡɑn
իշամեղու	iʃɑmɛʁu
քայլել	kʰɑjlɛl
անտիտավրոս	ɑndidɑvɾɔs
միհրան	mihɾɑn
որջ	vɔɾt͡ʃʰ
կամպալա	ɡɑmbɑlɑ
գաղափարախոս	kʰɑʁɑpʰɑɾɑχɔs
լուվիերեն	luvijɛɾɛn
եդեսական	jɛtʰɛsɑɡɑn
սանձարձակ	sɑnt͡sʰɑɾt͡sʰɑɡ
ճկուն	d͡ʒəɡun
զարհուրաբեր	zɑɾhuɾɑpʰɛɾ
վկայել	vəɡɑjɛl
անարդար	ɑnɑɾtʰɑɾ
բջջաբանական	pʰət͡ʃʰət͡ʃʰɑpʰɑnɑɡɑn
թարմացնել	tʰɑɾmɑt͡sʰənɛl
պատմվածք	bɑdməvɑt͡sʰkʰ
եղնորթ	jɛʁnɔɾtʰ
լպստել	ləbəstɛl
ապաշխարել	ɑbɑʃχɑɾɛl
մտահոգվածություն	mədɑhɔkʰvɑd͡zutʰʏn
ուրարտական	uɾɑɾdɑɡɑn
համբալ	hɑmpʰɑl
լրազամբյուղ	ləɾɑzɑmpʰʏʁ
ծավալել	d͡zɑvɑlɛl
մաքրել	mɑkʰɾɛl
մոնակո	mɔnɑɡɔ
ծարիր	d͡zɑɾiɾ
համեստ	hɑmɛst
անթարշամ	ɑntʰɑɾʃɑm
ընթացք	əntʰɑt͡sʰkʰ
պարթեւ	bɑɾtʰɛv
տաթեւիկ	dɑtʰɛviɡ
անհեթեթ	ɑnhɛtʰɛtʰ
դողալ	tʰɔʁɑl
ցավալ	t͡sʰɑvɑl
սոփոկլես	sɔpʰɔɡlɛs
արսենյան	ɑɾsɛnjɑn
լիզել	lizɛl
ատաղձ	ɑdɑχt͡sʰ
հորջորջանք	hɔɾt͡ʃʰɔɾt͡ʃʰɑŋkʰ
մենավոր	mɛnɑvɔɾ
տաքսի	dɑkʰsi
հանքաքար	hɑŋkʰɑkʰɑɾ
վճռականություն	vəd͡ʒɾɑɡɑnutʰʏn
պարտիզանական	bɑɾdizɑnɑɡɑn
կոմսություն	ɡɔmsutʰʏn
գրող	kʰəɾɔʁ
արի	ɑɾi
թուլաբնություն	tʰulɑpʰənutʰʏn
ոխանալ	vɔχɑnɑl
մասրի	mɑsɾi
մտահոգիչ	mədɑhɔkʰit͡ʃʰ
ավարտ	ɑvɑɾd
կարոտ	ɡɑɾɔd
օհայո	ɔhɑjɔ
սահմանափակվածություն	sɑhmɑnɑpʰɑɡvɑd͡zutʰʏn
կոսմոպոլիտային	ɡɔsmɔbɔlidɑjin
քթանցք	kʰətʰɑnt͡sʰkʰ
օկա	ɔɡɑ
վայելուչ	vɑjɛlut͡ʃʰ
ջինս	t͡ʃʰins
հանել	hɑnɛl
բախել	pʰɑχɛl
խարխլել	χɑɾχəlɛl
էլիստա	ɛlistɑ
փափկացում	pʰɑpʰkɑt͡sʰum
հեղուկ	hɛʁuɡ
նվագերգություն	nəvɑkʰɛɾkʰutʰʏn
ախալքալաքի	ɑχɑlkʰɑlɑkʰi
խոհամիտ	χɔhɑmid
պարան	bɑɾɑn
համատեղ	hɑmɑdɛʁ
միջինասիական	mit͡ʃʰinɑsjɑɡɑn
պատիվ	bɑdiv
մոլեկուլային	mɔlɛɡulɑjin
անծանոթ	ɑnd͡zɑnɔtʰ
հրայր	həɾɑjɾ
ցյուրիխ	t͡sʰʏɾiχ
մտահաղացում	mədɑhɑʁɑt͡sʰum
դաշտեր	tʰɑʃtɛɾ
սեպուհ	sɛbuh
կռտած	ɡəɾdɑd͡z
ցուլ	t͡sʰul
հազարամյակ	hɑzɑɾɑmjɑɡ
գրգռված	kʰəɾkʰəɾvɑd͡z
նախագահություն	nɑχɑkʰɑhutʰʏn
մեծապես	mɛd͡zɑbɛs
հայտնաբերել	hɑjdnɑpʰɛɾɛl
կարոս	ɡɑɾɔs
փառոք	pʰɑɾɔkʰ
առատուկ	ɑɾɑduɡ
կարճառոտ	ɡɑɾd͡ʒɑɾɔd
ֆիզիկապես	fiziɡɑbɛs
փարավոն	pʰɑɾɑvɔn
պիստակ	bistɑɡ
դավադրություն	tʰɑvɑtʰɾutʰʏn
հիշեցնել	hiʃɛt͡sʰənɛl
տրանսիլվանիա	dɾɑnsilvɑnjɑ
հույզ	hujz
շող	ʃɔʁ
