ยี้บ	yi:p
ตอม	tɔ:m
พื้นที้	phʉ:n.thi:
บ่าย	ba:i
แก้	gɛ:
แอ็นกอฮอ	ɛn.gɔ:.hɔ:
ไง่	ŋai
ซ้ำแมะ	sam.mɛ
จ้า	ja:
ขวน	khu:an
โอ๊ย	o:i
หมาด	ma:t
เต็ม	tem
กวด	gu:at
ของหวาน	khɔ:ŋ.wa:n
ถืก	thʉ:k
อับ	ap
จิง	jiŋ
หมากไม้	ma:k.mai
โลก	lo:k
ขอ	khɔ:
คับ	khap
หอั้น	an
ลูบแบบ	lu:p.bɛ:p
เตะ	te
ผ้าขนหนู	pha:.khon.nu:
อย่างหลาย	ya:ŋ.la:i
ไพเลาะ	phai.lɔ
พู	phu:
ฝน	fon
สูบ	su:p
บ้านเลียน	ba:n.li:an
บอลิสุด	bɔ:.li.sut
โจ้กๆ	jo:k
อื่น	ʉ:n
หน้าที่	na:.thi:
ฮุ	hu
ซ้อนส้อม	sɔ:n.sɔm
แก้ง	gɛ:ŋ
หั่น	han
ก้า	ga:
ล้น	lon
ที่	thi:
หล่น	lon
เปี้ยว	pi:ao
ตามีความสุข	ta:.mi:.khwa:m.suk
ไอน้ำ	ai.na:m
สิ่งของ	siŋ.khɔ:ŋ
สีหน้าสีตา	si:.na:.si:.ta:
นี้	ni:
ต้น	ton
อี่เกิ้ง	i:.gə:ŋ
ม่น	mon
ผงสะหัว	phoŋ.sa.hu:a
ฮ้าน	ha:n
ซาว	sa:o
พ่อใหญ่	phɔ:.ɲai
ฮวมกัน	hu:am.gan
ถึง	thʉŋ
ผาย	pha:i
อากาด	a:.ga:t
ซาน	sa:n
บ้าน	ba:n
คะนิดตะสาด	kha.nit.ta.sa:t
ขอนไม้	khɔ:n.mai
เลียบล้อย	li:ap.lɔ:i
ซานซาลา	sa:n.sa:.la:
ปากเป็น	pa:k.pen
โนน	no:n
อักสน	ak.sɔ:n
พ้อ	phɔ:
หนังสือพิม	naŋ.sʉ:.phim
ปุก	puk
ตี	ti:
สูง	su:ŋ
สีน	si:n
ลาคา	la:.kha:
สะหว่าง	sa.wa:ŋ
โอ	o:
ใด	dai
ละลาย	la.la:i
ตั้งแต่	taŋ.tɛ:
ปูก	pu:k
เลาะ	lɔ
ตึ่บ	tʉp
แผ่น	phɛn
ม่วน	mu:an
แหวว	wɛ:o
พะทาด	pha.tha:t
วันเกิด	wan.gə:t
จึ่งคื่ง	jʉŋ.khʉ:ŋ
จอด	jɔ:t
เอา	ao
ไว้	wai
โต	to:
สอก	sɔ:k
แนวค้อง	nɛ:o.khɔ:ŋ
คะนิด	kha.nit
ข้างเทิง	kha:ŋ.thə:ŋ
เด็กน้อย	dek.nɔ:i
ต่างปะเทด	ta:ŋ.pa.thet
ทอง	thɔ:ŋ
คาบ	kha:p
เอ้ย	ə:i
แม่ค้า	mɛ:.kha:
สด	sot
จีวอน	ji:.wɔ:n
แป้นพิม	pɛ:n.phim
คุม	khum
ดอกบัว	dɔ:k.bu:a
พ้อม	phɔ:m
โมโห	mo:.ho:
เนี้ยง	ni:aŋ
สี่	si:
