زرتشتی	zæɾtoʃtiː
اتصال مجازی	ettesɒːlemæd͡ʒɒːziː
هندوایرانی	hendoiːɾɒːniː
غلبه	ɢælæbe
نگران	neɡæɾɒːn
رکسانه	ɾoksɒːne
آناپا	ɒːnɒːpɒː
بزک	bæzæk
کالیفرنیم	kɒːliːfoɾniːom
ابرو	æbɾuː
استاتین	æstɒːtiːn
اشک ریختن	æʃkɾiːxtæn
كم‌گوش	kæmɡuːʃ
جوش آوردن	d͡ʒuːʃɒːvæɾdæn
چال کردن	t͡ʃɒːlkæɾdæn
سد کشیدن	sædkeʃiːdæn
صید	sæiːd
اخم	æxm
سر درآوردن	sæɾdæɾɒːvæɾdæn
مظلومیت	mæzluːmiːæt
سینه	siːne
رویه	ɾuːjæ
رحمت آوردن	ɾæhmætɒːvæɾdæn
سفارت	sefɒːɾæt
بهره‌برداری	bæhɾebæɾdɒːɾiː
بیراهه	biːɾɒːhe
مائوئیسم	mɒːʔuːʔiːsm
فر زدن	feɾzædæn
تونس	tuːnes
کراتین	keɾɒːtiːn
تکاوری	tækɒːvæɾiː
یادآوری کردن	jɒːdɒːvæɾiːkæɾdæn,jɒːdɒːvæɾiːkæɾdæn
فاز	fɒːz
شهر	ʃæhɾ
شتر	ʃotoɾ
اسحاق	eʃɒːɢ
مسیح	mæsiːh
میر	miːɾ
خوش اومدی	xoʃuːmædiː
گیر	ɡiːɾ
تو را	tuːɾɒː
ایست	est
برنجاسف	beɾend͡ʒɒːsef
متأسف‌ام	motæʔsefæm
كیف دادن	kejfdɒːdæn
آب حیات	ɒːbehejɒːt
موضوع	moʊzuː
ریمل	ɾiːmel
بوته	buːte
دلشوره	delʃuːɾe
ژورنال	ʒoɾnɒːl
کیم	kiːm
زبان آبخازی	zæbɒːnɒːbxɒːziː
الجزیره	æld͡ʒæzîɾe,æld͡ʒæziːɾe
شکمبه	ʃekæmbe
بوییدن	büjiːdæn
ماژیک	mɒːʒiːk
نگه داشتن	neɡæhdɒːʃtæn
دیرین	diːɾiːn
خشک	xoʃk
انبار مهمات	ænbɒːɾemohemmɒːt
کاما سوترا	kɒːmɒːsuːtɾɒː
گاهی	ɡɒːhiː
می‌خواست	míxɒːst
طرح کشیدن	tæɾhkeʃiːdæn
الگو زدن	olɡuːzædæn
چشم‌پزشکی	t͡ʃeʃmpezeʃkiː
مرو	mæɾv
ناسازگار	nɒːsɒːzɡɒːɾ
چاشنی	t͡ʃɒːʃniː
مدرسه	mædɾese
فناوری	fænnɒːvæɾiː
ویشنو	viːʃnuː
خویشان	xviːʃɒːn
کفتر	kæftæɾ
تهران	tehɾɒːn
فیکساتور زدن	fiːksɒːtoɾzædæn
عقد درآمدن	æɢddæɾɒːmædæn
زبان ماشین	zæbɒːnemæʃiːn
نفر	næfæɾ
چشمک	t͡ʃeʃmæk
کینه گرفتن	kiːneɡeɾeftæn
پنجر	pænd͡ʒeɾ,pænd͡ʒæɾ
شیراز	ʃiːɾɒːz
عصرانه	æsɾɒːne
احساس	ehsɒːs
گاراژ	ɡɒːɾɒːʒ
خنده زدن	xændezædæn
اولین عشق	ævvæliːneʔeʃɢ
نقطه‌ویرگول	noɢteviːɾɡuːl
پناه	pænɒːh
اسنوکر	esnuːkeɾ
تکرار کردن	tekɾɒːɾkæɾdæn
بخش	bæxʃ
برهمن	bɾæhmæn
کرایه دادن	keɾɒːjædɒːdæn
یدک کشیدن	jædækkeʃiːdæn
مرمر	mæɾmæɾ
شناختن	ʃenɒːxtæn
دل	del
آرسنیک	ɒːɾseniːk
آغوش گرفتن	ɒːɢuːʃɡeɾeftæn
اقریطس	eɢɾiːts
فاخته	fɒːxtæ
انتگرال گرفتن	ænteɡɾɒːlɡeɾeftæn
شانه کشیدن	ʃɒːnekeʃiːdæn
سه	se
سيمگون	siːmɡuːn
مهربان	mehæɾbɒːn,mehɾæbɒːn
آب سیب	ɒːbesiːb
مربع	moɾæbæ
زبر	zæbæɾ,zebæɾ
بوش	buːʃ
خواسته باشیم	xɒːstebɒːʃiːm
فریبا	fæɾiːbɒː
چهچهه	t͡ʃæht͡ʃæhe
قالیچه	ɢɒːliːt͡ʃe
جای‌گزین	d͡ʒɒːjɡoziːn
آچمز	ɒːt͡ʃmæz
جوجه	d͡ʒuːd͡ʒe
سه‌تار	setɒːɾ
چپ‌گرا	t͡ʃæpɡæɾɒː
باتنگان	bɒːtenɡɒːn
امان آمدن	æmɒːnɒːmædæn
گوز	ɡuːz
رغبت کردن	ɾeɢbætkæɾdæn
درنگ کردن	deɾænɡkæɾdæn
سرفیدن	soɾfiːdæn
امگا	omeɡɒː
بست زدن	bæstzædæn
تیزآب سلطانی	tiːzɒːbesoltæniː
قانقاریا	ɢɒːnɢɒːɾjɒː
کوریم	kuːɾiːom
خواسته بودم	xɒːstebúdæm
هماورد	hæmɒːvæɾd
تشبیه	tæʃbiːh
سرشاخه	sæɾʃɒːxe
بدهی	bedehiː
ارمغان	æɾmæɢɒːn
نقاب	neɢɒːb
کارل	kɒːɾl
بوم‌شناسی	buːmʃenɒːsiː
صدام	sæddɒːm
مکعب	mokæʔæb
ترانسیلوانیا	teɾɒːnsiːlvɒːniːjɒː
خاکزاد	xɒːkzɒːd
سرعت گری	soɾʔɒːtɡɒːɾiː
مجاور	mod͡ʒɒːveɾ
فغان	fæɢɒːn
فنلاندی	fænlɒːndiː
ترس	tæɾs
داشت می‌خواست	dɒːʃtmíxɒːst
واکس زدن	vɒːkszædæn
اقیانوسیه	oɢjɒːnuːsiːje
فرانسه	fɾɒːnse
ناله کشیدن	nɒːlekeʃiːdæn
مخاچ‌قلعه	mæxɒːt͡ʃɢælʔe
سرخ	soɾx
آشنایی دادن	ɒːʃnɒːjiːdɒːdæn
دیسال	diːsɒːl
بزودی	bezuːdiː
غیب زدن	ɢejbzædæn
قوطى	ɢuːtiː
گنجینه	ɡænd͡ʒiːne
طناب	tænɒːb
زق	zeɢ
داروساز	dɒːɾuːsɒːz
بادنجان	bɒːdend͡ʒɒːn
بریتانیای کبیر	beɾiːtɒːniːjɒːjekæbiːɾ
شمال غربی	ʃomɒːleɢæɾbiː,ʃæmɒːleɢæɾbiː
چرخ زدن	t��ʃæɾxzædæn
گرین کارت	ɡɾiːnkɒːɾt
رهبر	ɾæhbæɾ
انبار کردن	ænbɒːɾkæɾdæn
پزشک زنان	pezeʃkezænɒːn
عصا زدن	æsɒːzædæn
فعل	feʔl
سوزن زدن	suːzænzædæn
اتریش	otɾiːʃ
بیست و پنج سنتی	biːstopænd͡ʒsentiː
قاچ زدن	ɢɒːt͡ʃzædæn
برس	boɾos
یورش	juːɾeʃ,joɾeʃ
گشتن	ɡæʃtæn
اگرچه	æɡæɾt͡ʃe
لثه	lese,læse
تلاش کردن	tælɒːʃkæɾdæn
استونیائی	estuːniːjɒːʔiː
دایره کشیدن	dɒːjeɾekeʃiːdæn
نیل	niːl
پین‌یین	piːnjiːn
توله سگ	tuːlesæɡ
اشاره کردن	eʃɒːɾekæɾdæn
مارگارین	mɒːɾɡɒːɾiːn
زوزه زدن	zuːzezædæn
چرخ خوردن	t͡ʃæɾxxoɾdæn
نبض	næbz
طرفدار	tæɾæfdɒːɾ
یتیم	jætiːm
شوت	ʃuːt
شش	ʃoʃ,ʃeʃ
سیریلیک	siːɾiːliːk
تماشا	tæmɒːʃɒː
زمستان	zemestɒːn
ارقام رومی	æɾɢɒːmeɾuːmiː
شوروی	ʃuːɾæviː
مردمک	mæɾdomæk
سازه	sɒːze,sɒːzæ
نارو	nɒːɾo
سر سخت	sæɾsæxt
داستان کوتاه	dɒːstɒːnekuːtɒːh
کمی	kæmiː
هم‌جنس‌گرایی	hæmd͡ʒensɡæɾɒːjiː
