հեռաձայնել	hɛrɑd͡zɑjnɛl
զգետնել	əzɡɛtnɛl
անզգայություն	ɑnəzɡɑjutʰjun
գալար	ɡɑlɑɾ
խոպոպաձեւ	χɔpɔpɑd͡zɛv
ռեպ	rɛp
էֆենդի	ɛfɛndi
մագլցել	mɑɡəlt͡sʰɛl
արգելել	ɑɾkʰɛlɛl
մեծավոր	mɛt͡sɑvɔɾ
փ	pʰə
ճանաչել	t͡ʃɑnɑt͡ʃʰɛl
մահաքաղաք	mɑhɑkʰɑʁɑkʰ
զարհուրեցուցիչ	zɑɾhuɾɛt͡sʰut͡sʰit͡ʃʰ
կարամ	kɑɾɑm
հաթաթա	hɑtʰɑtʰɑ
նշանակել	nəʃɑnɑkɛl
պտկունք	pətkuŋkʰ
հրեղեն	həɾɛʁɛn
շատ	ʃɑt
արբանյակ	ɑɾbɑnjɑk
գործազրկություն	ɡɔɾt͡sɑzəɾkutʰjun
ականատես	ɑkɑnɑtɛs
քերել	kʰɛɾɛl
խսհմ	χəsəhəmə
ձվատար	d͡zəvɑtɑɾ
սփյուռք	əspʰjurkʰ
կոկորդիլոս	kɔkɔɾtʰilɔs
եղն	jɛʁən
քաքել	kʰɑkʰɛl
հյուսիսային	hjusisɑjin
նորմատիվ	nɔɾmɑtiv
վոլապյուկ	vɔlɑpjuk
եռանդալի	jɛrɑndɑli
փոքրիկ	pʰɔkʰɾik
աշխարհաքաղաքական	ɑʃχɑɾɑkʰɑʁɑkʰɑkɑn
լյուստրա	ljustɾɑ
նպաստավոր	nəpɑstɑvɔɾ
ֆիլիպ	filip
աժան	ɑʒɑn
քոռ	kʰɔr
դեմ	dɛm
վարժարան	vɑɾʒɑɾɑn
դարեհ	dɑɾɛh
լահմաջու	lɑhmɑd͡ʒu
խամոն	χɑmɔn
պիտանի	pitɑni
բաժակ	bɑʒɑk
ձմերուկ	d͡zəmɛɾuk
քարայր	kʰɑɾɑjɾ
այսուհետ	ɑjsuhɛt
ելցին	jɛlt͡sʰin
մաշկյակ	mɑʃkjɑk
աքսորական	ɑkʰsɔɾɑkɑn
հյուրանոց	hjuɾɑnɔt͡sʰ
սալորենի	sɑlɔɾɛni
մեծաքիթ	mɛt͡sɑkʰitʰ
պերու	pɛɾu
նադիր	nɑdiɾ
ելունդ	jɛlund
կիսաստվեր	kisɑstəvɛɾ
գլդորել	ɡəldɔɾɛl
օմանցի	ɔmɑnt͡sʰi
ապստամբել	ɑpəstɑmbɛl
հավասարասրուն	hɑvɑsɑɾɑsɾun
հրատարակչություն	həɾɑtɑɾɑkt͡ʃʰutʰjun
խաբեպատիր	χɑpʰɛpɑtiɾ
հնգամյա	həŋɡɑmjɑ
հաճել	hɑt͡ʃɛl
նախդիր	nɑχdiɾ
միջակետ	mit͡ʃʰɑkɛt
աստղաբաշխություն	ɑstʁɑbɑʃχutʰjun
նյութափոխանակություն	njutʰɑpʰɔχɑnɑkutʰjun
բու	bu
կենսոլորտ	kɛnsɔlɔɾt
մեղմ	mɛʁm
ցամաքային	t͡sʰɑmɑkʰɑjin
տարմահավ	tɑɾmɑhɑv
տայբեյ	tɑjbɛj
մարջան	mɑɾd͡ʒɑn
ներսիսյան	nɛɾsisjɑn
ազատագնել	ɑzɑtɑɡənɛl
դոգմատիզմ	dɔɡmɑtizm
թուրշի	tʰuɾʃi
ծրագրավորել	t͡səɾɑɡɾɑvɔɾɛl
անցնել	ɑnt͡sʰnɛl
լեսբոս	lɛsbɔs
թաքնվել	tʰɑkʰnəvɛl
բակքիլիդես	bɑkʰːilidɛs
չինար	t͡ʃʰinɑɾ
բաղբանջել	bɑʁbɑnd͡ʒɛl
հրանտ	həɾɑnt
ճչել	t͡ʃət͡ʃʰɛl
ջիբեյլ	d͡ʒibɛjl
ջրածնային	d͡ʒəɾɑt͡snɑjin
քսաներեք	kʰəsɑnɛɾɛkʰ
ագուցվել	ɑɡut͡sʰvɛl
սառել	sɑrɛl
դաբիր	dɑbiɾ
կռուփ	kərupʰ
օժիտ	ɔʒit
թալիշագիտություն	tʰɑliʃɑɡitutʰjun
խոպան	χɔpɑn
պաշտոնական	pɑʃtɔnɑkɑn
հոգալ	hɔkʰɑl
բնակտոր	bənɑkətɔɾ
երազել	jɛɾɑzɛl
վիսլա	vislɑ
զարդարանք	zɑɾtʰɑɾɑŋkʰ
մարզիկ	mɑɾzik
փորձագետ	pʰɔɾt͡sʰɑɡɛt
կապուտակ	kɑputɑk
շալակ	ʃɑlɑk
լիմբուրգերեն	limbuɾɡɛɾɛn
հունավոր	hunɑvɔɾ
կարճ	kɑɾt͡ʃ
էրե	ɛɾɛ
թափվել	tʰɑpʰvɛl
տոնել	tɔnɛl
կաղամբ	kɑʁɑmb
ուղեկցել	uʁɛkt͡sʰɛl
խառատյան	χɑrɑtjɑn
հնոտիք	hənɔtikʰ
կապանք	kɑpɑŋkʰ
բողկ	bɔχk
մավրիկիոս	mɑvɾikiɔs
փասթաթուղթ	pʰɑstʰɑtʰuχtʰ
տավար	tɑvɑɾ
ենթադրելի	jɛntʰɑdɾɛli
հուռթի	hurtʰi
սայթաքել	sɑjtʰɑkʰɛl
խանձատել	χɑnd͡zɑtɛl
տարողություն	tɑɾɔʁutʰjun
ծարավություն	t͡sɑɾɑvutʰjun
խալիֆ	χɑlif
հով	hɔv
առանց	ɑrɑnt͡sʰ
խճող	χət͡ʃɔʁ
քաղաքացիություն	kʰɑʁɑkʰɑt͡sʰiutʰjun
խորենացի	χɔɾɛnɑt͡sʰi
ամարաստան	ɑmɑɾɑstɑn
սիմոնականություն	simɔnɑkɑnutʰjun
խոհանոց	χɔhɑnɔt͡sʰ
անմարդաբնակ	ɑnmɑɾtʰɑbənɑk
օլիգարխ	ɔliɡɑɾχ
ամոք	ɑmɔkʰ
ծես	t͡sɛs
օգնություն	ɔkʰnutʰjun
անդրեաս	ɑndɾɛɑs
հայերեն	hɑjɛɾɛn
սահման	sɑhmɑn
զոշաքաղություն	zɔʃɑkʰɑʁutʰjun
վիթխարի	vitʰχɑɾi
տկողին	təkɔʁin
ստվարաթղթյա	əstəvɑɾɑtʰəχtʰjɑ
ճերմակ	t͡ʃɛɾmɑk
սա	sɑ
կիցք	kit͡sʰkʰ
ճոճաթոռ	t͡ʃɔt͡ʃɑtʰɔr
խորաթափանց	χɔɾɑtʰɑpʰɑnt͡sʰ
միզածորան	mizɑt͡sɔɾɑn
խաղաքար	χɑʁɑkʰɑɾ
անժելա	ɑnʒɛlɑ
պարան	pɑɾɑn
տանել	tɑnɛl
մղձավանջ	məʁd͡zɑvɑnd͡ʒ
բյուրեղ	bjuɾɛʁ
տաքսի	tɑkʰsi
խարզա	χɑɾzɑ
գրաբարյան	ɡəɾɑpʰɑɾjɑn
առերեսում	ɑrɛɾɛsum
նանի	nɑni
պատրվակ	pɑtəɾvɑk
մկրտումյան	məkəɾtumjɑn
բելուջերեն	bɛlud͡ʒɛɾɛn
բացառական	bɑt͡sʰɑrɑkɑn
ղզղնած	ʁəzʁənɑt͡s
քաղաքականություն	kʰɑʁɑkʰɑkɑnutʰjun
նահուատլ	nɑhuɑtəl
արոնյան	ɑɾɔnjɑn
սվաստիկա	svɑstikɑ
մակույկ	mɑkujk
