של	ʃl
את	ʔt
על	ʔl
הוא	hˈu
עם	ˈim
לא	lˈo
גם	ɡm
היה	ˈiʔ
היא	hˈi
לאחר	lʔχʁ
זה	zʔ
או	ʔv
כי	χˈi
בין	vˈin
ידי	jdˈi
אך	ʔχ
יותר	jotˈeʁ
כל	χl
ב	vˈet
עד	ʔd
זו	zv
הייתה	ˈijtʔ
הם	hˈem
בשנת	vʃnt
כדי	χdˈi
היו	ˈiv
אשר	ʔʃʁ
ביותר	vˈivtʁ
שלו	ʃlv
אותו	ʔvtv
אחד	ʔχd
בו	vv
כאשר	χʔʃʁ
כך	χχ
מספר	msfʁ
לו	lv
זאת	zʔt
הראשון	ʔʁʔʃvn
כמו	χmv
יש	jʃ
בית	bˈajit
שם	ʃm
אף	ʔf
רק	ʁk
רבים	ʁvˈim
במהלך	vmʔlχ
שני	ʃnˈi
אם	ˈim
אל	ʔl
באופן	vʔvfn
במקום	vmkvm
אותה	ʔvtʔ
שנים	ʃanˈim
בה	vʔ
ישראל	jˌisʁaʔˈel
העיר	ʔˈiʁ
ל	lˈamed
מכן	mχn
הספר	ʔsfʁ
כן	kˈen
שהוא	ʃʔvʔ
בכל	vχl
שנה	ʃnʔ
פי	fˈi
בשם	vʃm
אחת	ʔχt
הברית	ʔvʁˈit
ניתן	nˈitn
לפני	lfnˈi
שלה	ʃlʔ
להיות	lˈivt
שלא	ʃlʔ
חלק	χlk
הראשונה	ʔʁʔʃvnʔ
אלו	ʔlv
מ	mˈem
שונים	ʃvnˈim
ולא	vlʔ
לה	lʔ
ללא	lelˈo
החל	ʔχl
כלל	χll
השני	ʔʃnˈi
והוא	vʔvʔ
אחרים	ʔχʁˈim
אלה	ʔlʔ
עבור	ʔvvʁ
בבית	vvˈit
מנת	mnt
אולם	ʔvlm
מה	mˈa
העולם	ʔʔvlm
מאוד	mʔvd
זכה	zχʔ
אחר	ʔχʁ
רבות	ʁvvt
ה	hˈe
דבר	dvʁ
בני	vnˈi
מן	mn
הן	ʔn
זמן	zmˈan
בן	vn
במשך	vmʃχ
בנוסף	vnvsf
השיר	ʔʃjʁ
בהם	vʔm
באותה	vʔvtʔ
אותם	ʔvtm
הסרט	ʔsʁt
עצמו	ʔtsmv
אדם	ʔdm
תוך	tˈoχ
בעיקר	vˈikʁ
נגד	ŋd
עוד	ˈod
בשל	vʃl
שתי	ʃtˈi
בעקבות	vʔkvvt
באמצעות	vʔmtsʔvt
בקרב	vkʁv
אלא	ʔlʔ
הקבוצה	ʔkvvtsʔ
אין	ˈin
יחד	jχd
בלבד	vlvd
השנייה	ʔʃnˈijʔ
המדינה	ʔmdˈinʔ
שהיה	ʃˈiʔ
שלהם	ʃlʔm
וכן	vχn
אחרי	ʔχʁˈi
כמה	kamˈa
מטר	mtʁ
להם	lʔm
בדרך	vdʁχ
מתוך	mtvχ
רב	ʁv
מיליון	mˈilivn
ר	ʁˈeʃ
דרך	dʁχ
לפי	lfˈi
שונות	ʃvnvt
יכול	jaχˈol
החברה	ʔχvʁʔ
בעלי	vʔlˈi
בעל	vʔl
נוספים	nvsfˈim
בישראל	vˈiʃʁʔl
השנים	ʔʃnˈim
אינו	ˈinv
לכל	lχl
תחת	tχt
כיום	χˈivm
נוסף	nvsf
ואת	vʔt
לכך	lχχ
לעיתים	lˈitim
שבו	ʃvv
בעולם	vʔvlm
שהיא	ʃˈiʔ
למרות	lmʁvt
בעיר	vˈiʁ
אבל	ʔvl
המלחמה	ʔmlχmʔ
גדול	ɡdvl
כבר	χvʁ
האלבום	ʔʔlvvm
העונה	ʔʔvnʔ
רוב	ʁvv
לאורך	lʔvʁχ
ו	vˈav
באזור	vʔzvʁ
ספר	sˈefeʁ
יצא	jtsʔ
כתב	χtv
ראש	ʁʔʃ
יום	jvm
ועל	vʔl
אנשים	ʔnʃjm
חיים	χˈijm
כולל	χvll
ואף	vʔf
היום	ˈivm
מאז	mʔz
חברת	χvʁt
זכתה	zχtʔ
ולכן	vlχn
עליו	ʔlˈiv
בזמן	vzmn
דקות	dkvt
לאור	lʔvʁ
במסגרת	vmsɡʁt
בתוך	vtvχ
יהודים	jʔvdˈim
האדם	ʔʔdm
שלושה	ʃloʃˈa
מערכת	mʔʁχt
מהם	mʔm
הגיע	ʔɡˈiʔ
ילדים	jldˈim
מחדש	mχdʃ
הסדרה	ʔsdʁʔ
הרב	ʔʁv
מעל	mʔl
לראשונה	lʁʔʃvnʔ
שנות	ʃnvt
לבין	lvˈin
