ಈ	ˈiː
ಅವರ	ˌɐvɐɹɐ
ಆ	ˈaː
ಅದರ	ˌɐdɐɹɐ
ಇದರ	ˌidɐɹɐ
ನ	nˈɐ
ಇತರ	ˌitɐɹɐ
ಸಹ	sˈɐhɐ
ರ	ɹˈɐ
ಅವನ	ˌɐvɐnɐ
ಬಹಳ	bˈɐhɐɭɐ
ಈಗ	ˌiːɡɐ
ಇವರ	ˌivɐɹɐ
ದ	dˈɐ
ಆಗ	ˈaːɡɐ
ಆತ	ˈaːtɐ
ಆದ	ˈaːdɐ
ನಗರದ	nˈɐɡɐɹˌɐdɐ
ಆತನ	ˈaːtɐnɐ
ಜನ	ɟˈɐnɐ
ಜನರ	ɟˈɐnɐɹɐ
ನಗರ	nˈɐɡɐɹɐ
ಗಳ	ɡˈɐɭɐ
ಎ	ˈe
ಈತ	ˈiːtɐ
ಅವಳ	ˌɐvɐɭɐ
ಹಣ	hˈɐɳɐ
ಯ	jˈɐ
ಸಮಯ	sˈɐmɐjɐ
ಮರದ	mˈɐɹɐdɐ
ಇವನ	ˌivɐnɐ
ಗಮನ	ɡˈɐmɐnɐ
ಮಗ	mˈɐɡɐ
ಈತನ	ˈiːtɐnɐ
ಸರಳ	sˈɐɹɐɭɐ
ರವರ	ɹˈɐvɐɹɐ
ತನಕ	tˈɐnɐkɐ
ದಶಕದ	dˈɐɕɐkˌɐdɐ
ಪದ	pˈɐdɐ
ಆಟದ	ˈaːʈɐdɐ
ಹಣದ	hˈɐɳɐdɐ
ಜನಪದ	ɟˈɐnɐpˌɐdɐ
ನಟ	nˈɐʈɐ
ಸಮಯದ	sˈɐmɐjˌɐdɐ
ಸಲ	sˈɐlɐ
ಬಲ	bˈɐlɐ
ಮತ	mˈɐtɐ
ಮರ	mˈɐɹɐ
ಜನನ	ɟˈɐnɐnɐ
ಏಕ	ˈeːkɐ
ಆಟ	ˈaːʈɐ
ಪದಕ	pˈɐdɐkɐ
ಸಹಜ	sˈɐhɐɟɐ
ಉಪ	ˈupɐ
ಮರಣ	mˈɐɹɐɳɐ
ಐ	ˈa͡ɪ
ವಲಯದ	vˈɐlɐjˌɐdɐ
ದರ	dˈɐɹɐ
ಘನ	ɡʰˈɐnɐ
ಸತತ	sˈɐtɐtɐ
ಪದದ	pˈɐdɐdɐ
ತರಹದ	tˈɐɹɐhˌɐdɐ
US	(͡e͡n)jˌuːˈɛs(͡k͡n)
ಒಳ	ˈoɭɐ
ಚದರ	cˈɐdɐɹɐ
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡k͡n)
ಮರಣದ	mˈɐɹɐɳˌɐdɐ
ಅಥವ	ˈɐtʰɐvɐ
ಎಡ	ˈeɖɐ
ಅ	ˈɐ
ಪರ	pˈɐɹɐ
ಕವನ	kˈɐvɐnɐ
ಅಗಲ	ˈɐɡɐlɐ
ಔಷಧ	ˈa͡ʊʂɐdʰɐ
ಜಲ	ɟˈɐlɐ
ವಲಯ	vˈɐlɐjɐ
I	ˈaːj
ಇ	ˈi
UK	(͡e͡n)jˌuːkˈe͡ɪ(͡k͡n)
of	(͡e͡n)ɒv(͡k͡n)
ಘಟಕ	ɡʰˈɐʈɐkɐ
ದಶಕಗಳ	dˈɐɕɐkˌɐɡɐɭɐ
ವಚನ	vˈɐcɐnɐ
ಸಮರ	sˈɐmɐɹɐ
ಪದಗಳ	pˈɐdɐɡˌɐɭɐ
ಮರಗಳ	mˈɐɹɐɡˌɐɭɐ
ಒಣ	ˈoɳɐ
ಜಯ	ɟˈɐjɐ
ಕಣಗಳ	kˈɐɳɐɡˌɐɭɐ
ಕಡಲ	kˈɐɖɐlɐ
ಮಠದ	mˈɐʈʰɐdɐ
A	ˈeːj
C	sˈiː
ರಸ	ɹˈɐsɐ
ಊಟ	ˈuːʈɐ
ಶ	ɕˈɐ
pp	(͡e͡n)pˌiːpˈiː(͡k͡n)
